"marital","sibs","childs","age","educ","sex","rincome","relig","relig16","year","id"
5,1,0,28,16,2,5500,4,NA,2021,140
5,2,0,24,16,2,3500,4,NA,2021,142
1,2,2,37,19,1,13,2,NA,2021,143
1,1,3,40,18,2,13,2,NA,2021,144
1,3,1,61,18,2,25000,4,NA,2021,145
1,1,2,67,16,2,25000,3,NA,2021,146
5,1,0,25,16,2,25000,4,NA,2021,147
5,3,0,58,12,1,25000,1,NA,2021,148
1,3,1,84,16,2,NA,1,NA,2021,149
5,5,0,68,12,2,NA,2,NA,2021,150
5,4,0,63,11,2,25000,1,NA,2021,151
1,1,1,36,16,2,25000,2,NA,2021,152
1,2,2,67,14,1,25000,2,NA,2021,153
3,1,2,53,19,2,25000,4,NA,2021,154
1,9,0,60,16,2,NA,1,NA,2021,155
2,8,5,87,12,1,NA,2,NA,2021,156
1,2,0,74,20,2,NA,4,NA,2021,158
3,4,1,66,14,2,2000,4,NA,2021,159
1,2,2,46,16,2,25000,2,NA,2021,160
1,0,0,43,19,1,25000,4,NA,2021,161
1,8,2,NA,14,2,NA,2,NA,2021,162
1,1,2,49,12,1,NA,2,NA,2021,163
5,2,2,74,14,1,NA,4,NA,2021,164
3,0,1,54,16,2,17500,1,NA,2021,165
5,1,0,53,20,1,25000,4,NA,2021,166
1,1,1,NA,17,2,NA,4,NA,2021,167
1,5,1,62,14,1,25000,4,NA,2021,168
3,2,1,65,19,2,25000,11,NA,2021,169
1,8,1,41,20,2,12500,2,NA,2021,170
1,2,0,46,16,1,NA,10,NA,2021,171
3,5,4,64,16,2,25000,5,NA,2021,172
1,1,2,79,18,2,NA,1,NA,2021,173
1,3,1,33,16,2,1000,4,NA,2021,174
3,1,3,74,14,1,25000,4,NA,2021,175
1,0,1,75,16,2,NA,3,NA,2021,176
1,6,3,74,16,1,NA,1,NA,2021,177
1,3,2,65,12,1,25000,2,NA,2021,179
3,4,1,41,16,2,25000,4,NA,2021,181
5,0,0,NA,18,2,NA,4,NA,2021,182
3,2,2,57,18,1,25000,1,NA,2021,183
1,3,2,35,12,2,NA,2,NA,2021,184
5,3,0,36,13,2,NA,4,NA,2021,185
3,5,4,43,14,2,25000,1,NA,2021,187
1,0,4,NA,12,2,NA,1,NA,2021,188
1,3,5,44,13,2,22500,1,NA,2021,189
2,4,2,67,10,2,NA,2,NA,2021,190
1,2,3,45,14,1,25000,1,NA,2021,192
1,7,2,NA,13,2,25000,1,NA,2021,194
1,1,2,36,16,2,25000,4,NA,2021,195
1,2,2,40,17,2,3500,4,NA,2021,196
5,2,0,33,16,1,13,4,NA,2021,198
1,3,2,57,12,1,25000,4,NA,2021,199
1,1,1,32,16,2,NA,7,NA,2021,201
3,6,4,69,12,1,NA,2,NA,2021,202
1,3,0,67,20,1,13,1,NA,2021,203
5,7,1,28,10,1,NA,5,NA,2021,205
5,5,3,41,12,2,17500,9,NA,2021,206
5,3,1,45,14,2,NA,11,NA,2021,207
2,3,2,NA,18,NA,NA,11,NA,2021,208
1,3,2,NA,16,1,25000,1,NA,2021,209
3,2,1,64,12,2,17500,4,NA,2021,210
1,4,4,41,9,1,25000,1,NA,2021,211
